Scrape Date,Scrape Time,Product Name,Reviews,Status,RAM,Internal Storage,Battery,Main camera,Front camera,Display,Cover display,Processor,Connectivity,Colors,OS,Warranty Info,Region,SKU,Brands,Cover Camera,Operating System,Internal Memory,Chipset,Main Camera,Selfie Camera,Bluetooth,Colorways,Tags,This item,Rear Camera,Inner Camera,Outer Camera,Storage,Camera,Selfie,NB,Front Camera,Length,Type,Current,Color,Material,Weight,Size,g>y,Primary Camera,Rear camera,Selfie camera,Operating system,Colour,Colours,Network,Display Size,Resolution,Secondary Camera,Ports,Screen,Refresh Rate,Fingerprint,Price 1,Price 2
2024-09-28,21:53:26,Realme C51,0 Reviews,IN STOCK,4GB,,"5,000 mAh, 33W wired",,,"6.74 inches, IPS LCD, 90Hz",,Unisoc Tiger T612,"Dual SIM, 4G, Wi-Fi",Mint Green and Carbon Black,"Android 13, Realme UI T",,,,,,,,,,,,,,,,,,128GB,50 MP + 0.03 MP,5 MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 19,800","KSh 16,000"
2024-09-28,21:53:37,Realme C53,0 Reviews,IN STOCK,"6GB,8GB",,"5000 mAh, 33W wired,",,,"6.72 inches, IPS LCD, 90Hz",,Unisoc Tiger T612,"Dual sim, 4G, Wi-Fi","Champion Gold, Mighty Black","Android 13, Realme UI T",,,,,,,,,,,,,,,,,,"128GB, 256GB",50 MP + 2 MP,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 24,000","KSh 21,000"
2024-09-28,21:53:50,Realme 10,0 Reviews,IN STOCK,8GB,,"5,000 mAh, 33W Wired fast charger",,,"6.4 inches, Super AMOLED, 90Hz",,MediaTek Helio G99,"Dual SIM, 4G, Wi-Fi",White and Blue,"Android 12, Realme UI 3.0",,,,,,,,,,,,,,,,,,256GB,50MP + 2 MP,"16 MP, f/2.5",,,,,,,,,,,,,,,,,,,,,,,,,"KSh 35,000","KSh 33,500"
2024-09-28,21:54:03,Realme C55,0 Reviews,IN STOCK,"6GB, 8GB",,5000 mAh,,,"6.72 inches, IPS LCD, 90Hz",,Mediatek Helio G88,"Dual sim, 4G, Wi-Fi","Sun Shower, Rainy Night, Rainforest","Android 13, Realme UI 4.0",,,N/A,,,,,,,,,,,,,,,"128GB, 256GB",64 MP + 2 MP,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 29,500","KSh 28,500"
2024-09-28,21:54:16,Realme C30s,,IN STOCK,"2GB, 3GB, 4GB",,"5,000 mAh",,,6.5 inch,,Unisoc Tiger T612 (12 nm),"Dual SIM, supporting up to 4G","Stripe Blue, Stripe Black",Android 11,,,N/A,,,,"32GB, 64GB",,8MP,,,,,,,,,,,,,5MP,,,,,,,,,,,,,,,,,,,,,,,"KSh 11,500","KSh 12,500"
2024-09-28,21:54:29,Realme Pad Wi-Fi Only,0 Reviews,IN STOCK,3GB,32GB,"7100 mAh, 18W",8 MP,"8 MP, 105˚ (ultrawide)","10.4 inches, IPS LCD",,Mediatek MT6769V/CU Helio G80,"4G, Nano-SIM, Wi-Fi","Gray, Gold",Android 11,,,RMP2102-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 22,000","KSh 20,800"
2024-09-28,21:54:44,Realme Pad,0 Reviews,IN STOCK,"3GB, 4GB, 6GB","32GB, 64GB, 128GB","7100 mAh, 18W",8 MP,"8 MP, 105˚ (ultrawide)","10.4 inches, IPS LCD",,Mediatek MT6769V/CU Helio G80,"4G, Nano-SIM, Wi-Fi","Gray, Gold",Android 11,,,RMP2102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 26,000","KSh 22,000"
2024-09-28,21:58:26,Tecno Spark 20,0 Reviews,IN STOCK,8GB,,"Li-Po 5,000 mAh, 18W",,,"6.56-inch, IPS LCD, 90Hz",,Octa-core Mediatek MT6769Z Helio G85 (12nm),,,Android 13,,,N/A,Tecno,,,256GB,,"50 MP, f/1.6, (wide), 0.64µm, PDAF",32MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"720 x 1612 pixels, 20:9 ratio (~267 ppi density)",,,,,,"KSh 16,500","KSh 19,500"
2024-09-28,21:58:41,Tecno Spark 20C,0 Reviews,IN STOCK,"3GB, 4GB",,"Li-Po 5000 mAh, 18W",,,"6-inch, IPS LCD, 90Hz",,Octa-core MediaTek,,,Android 13,,,,Tecno,,,128GB,,50MP + 0.08MP,8MP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720 x 1612 pixels,,,,,,"KSh 17,000","KSh 16,000"
2024-09-28,21:58:55,Tecno Pop 8,0 Reviews,IN STOCK,"3GB, 4GB",,"5,000 mAh",,,"6.6 inches, IPS LCD",,Octa-core Unisoc T606 (12 nm),"Dual SIM, 4G, Wi-Fi","Mystery White, Alpenglow Gold, Magic Skin, Gravity Black",Android 13 (Go edition),,,N/A,Tecno,,,"64 GB, 128GB",,,,,,,,,,,,13 MP + 0.08 MP,8 MP,,,,,,,,,,,,,,,,,,,,,,,,,"KSh 12,500","KSh 11,800"
